Country,LPI,Customs,Infrastructure,International shipments,Logistics quality and competence,Tracking and tracing,Timeliness
Ghana,2.57,2.45,2.44,2.53,2.51,2.57,2.87
Comoros,2.56,2.63,2.25,2.49,2.21,2.93,2.80
Kyrgyz Republic,2.55,2.75,2.38,2.22,2.36,2.64,2.94
Morocco,2.54,2.33,2.43,2.58,2.49,2.51,2.88
Nigeria,2.53,1.97,2.56,2.52,2.40,2.68,3.07
Zambia,2.53,2.18,2.30,3.05,2.48,1.98,3.05
"Bahamas, The",2.53,2.68,2.41,2.50,2.27,2.52,2.75
Jamaica,2.52,2.42,2.32,2.53,2.54,2.48,2.79
Nepal,2.51,2.29,2.19,2.36,2.46,2.65,3.10
"Congo, Rep.",2.49,2.27,2.07,2.87,2.28,2.38,2.95
Moldova,2.46,2.25,2.02,2.69,2.30,2.21,3.17
Algeria,2.45,2.13,2.42,2.39,2.39,2.60,2.76
Togo,2.45,2.31,2.23,2.52,2.25,2.45,2.88
Georgia,2.44,2.42,2.38,2.38,2.26,2.26,2.95
"Congo, Dem. Rep.",2.43,2.37,2.12,2.37,2.49,2.51,2.69
Sudan,2.43,2.14,2.18,2.58,2.51,2.51,2.62
Pakistan,2.42,2.12,2.20,2.63,2.59,2.27,2.66
Chad,2.42,2.15,2.37,2.37,2.62,2.37,2.62
Trinidad and Tobago,2.42,2.42,2.38,2.59,2.27,2.27,2.53
Guatemala,2.41,2.16,2.20,2.33,2.25,2.42,3.11
Turkmenistan,2.41,2.35,2.23,2.29,2.31,2.56,2.72
"Gambia, The",2.40,2.08,1.82,2.71,2.21,2.81,2.71
Madagascar,2.39,2.32,2.16,2.19,2.33,2.61,2.73
Guinea-Bissau,2.39,2.01,1.78,2.53,2.28,2.78,2.86
Mongolia,2.37,2.22,2.10,2.49,2.21,2.10,3.06
Bolivia,2.36,2.32,2.15,2.54,2.21,2.13,2.74
Guyana,2.36,2.55,2.09,2.17,2.24,2.44,2.65
Fiji,2.35,2.41,2.40,2.16,2.31,2.31,2.54
Tajikistan,2.34,1.92,2.17,2.31,2.33,2.33,2.95
Mauritania,2.33,2.20,2.26,2.19,2.19,2.47,2.68
Equatorial Guinea,2.32,1.91,1.88,2.88,2.25,2.13,2.75
Myanmar,2.30,2.17,1.99,2.20,2.28,2.20,2.91
Syrian Arab Republic,2.30,1.82,2.51,2.37,2.29,2.37,2.44
Lesotho,2.28,2.36,1.96,2.21,2.03,2.37,2.70
"Yemen, Rep.",2.27,2.40,2.12,2.21,2.26,2.16,2.43
Senegal,2.25,2.17,2.22,2.36,2.11,2.11,2.52
"Venezuela, RB",2.23,1.79,2.10,2.38,2.21,2.29,2.58
Liberia,2.23,1.91,1.91,2.08,2.14,2.05,3.25
Somalia,2.21,2.00,1.81,2.61,2.30,2.23,2.20
Guinea,2.20,2.45,1.56,2.32,2.07,2.70,2.04
Cuba,2.20,2.03,2.04,2.27,2.20,2.15,2.46
Iraq,2.18,1.84,2.03,2.32,1.91,2.19,2.72
Papua New Guinea,2.17,2.32,1.97,2.15,1.88,2.26,2.44
Bhutan,2.17,2.14,1.91,1.80,2.35,2.35,2.49
Gabon,2.16,1.96,2.09,2.10,2.07,2.07,2.67
Central African Republic,2.15,2.24,1.93,2.30,1.93,2.10,2.33
Zimbabwe,2.12,2.00,1.83,2.06,2.16,2.26,2.39
Haiti,2.11,2.03,1.94,2.01,2.19,2.05,2.44
Libya,2.11,1.95,2.25,1.99,2.05,1.64,2.77
Eritrea,2.09,2.13,1.86,2.09,2.17,2.17,2.08
Sierra Leone,2.08,1.82,1.82,2.18,2.00,2.27,2.34
Niger,2.07,1.77,2.00,2.00,2.10,2.22,2.33
Burundi,2.06,1.69,1.95,2.21,2.33,2.01,2.17
Angola,2.05,1.57,1.86,2.20,2.00,2.00,2.59
Afghanistan,1.95,1.73,1.81,2.10,1.92,1.70,2.38
